選舉類型,擬參選人,個人捐贈收入,營利事業捐贈收入,政黨捐贈收入,人民團體捐贈收入,匿名捐贈收入,其他收入,人事費用支出,宣傳支出,租用宣傳車輛支出,租用競選辦事處支出,集會支出,交通旅運支出,雜支支出,返還捐贈支出,繳庫支出,公共關係費用支出
第10屆臺北市市議員,陳義洲,2050460,3874000,1000000,60000,18000,961,0,3051332,649054,579247,0,105050,2129277,0,0,0
第10屆臺北市市議員,陳錦祥,1642100,4357000,1000000,0,0,684,0,1623260,54160,0,2146243,0,609554,0,0,0
第10屆臺北市市議員,顏聖冠,1035880,715260,0,47000,70000,573,0,1422012,4300,0,37000,49773,468646,0,0,0
第10屆臺北市市議員,黃世杰,110000,110000,0,0,3000,0,0,0,0,0,0,0,560000,0,0,0
第10屆臺北市市議員,黃向羣,4418580,3572920,0,0,10000,754,0,3279604,2460208,300500,28841,47909,1922451,0,0,0
第10屆臺北市市議員,黃幼中,1115200,3383800,0,0,0,200000,0,3342827,345000,372840,1028,18680,705273,0,0,0
第10屆臺北市市議員,黃珊珊,4283731,4825020,0,87000,116100,0,0,2718793,76278,687289,1492872,247602,1964974,0,200000,0
第10屆臺北市議員,汪志冰,1465558,1611000,1000000,12000,1000,409,0,888712,219903,150000,141500,154987,2877508,0,0,0
第11屆臺北市議員,何志偉,546500,560000,0,0,10000,7,0,1097460,0,0,42000,0,37054,0,0,0
第11屆臺北市議員,侯冠群,1442000,1840000,200000,0,0,0,0,4004519,0,0,142200,0,20325,210000,0,0
第11屆臺北市議員,侯衍泰,1157100,451000,0,0,126000,22,441864,1171001,0,138000,65732,40329,241584,0,0,0
第11屆臺北市議員,劉耀仁,4147000,3886000,30000,0,14500,900,1892600,3921403,126288,287500,455750,74116,894262,1230000,0,83997
第11屆臺北市議員,厲耿桂芳,6400265,5478000,200000,345020,0,557,4742170,5148132,398985,224215,132080,106959,1421193,270000,0,0
第11屆臺北市議員,吳世正,3327700,1175200,0,505600,60166,1078,122170,2287754,76000,285000,255721,125259,352334,505600,12000,320607
第11屆臺北市議員,吳志剛,8974600,10976600,100000,118000,35000,1168,758400,9840543,1382271,979583,296439,40934,535337,1345000,20000,0
第11屆臺北市議員,吳思瑤,4347488,3471500,0,0,0,765,855600,3353484,85450,60000,735600,100100,853111,100000,0,194090
第11屆臺北市議員,吳碧珠,4226000,11678000,200000,0,0,855,1058900,4679472,1382900,1096525,0,162324,3008985,200000,1000000,0
第11屆臺北市議員,周倪安,943534,35000,100000,100000,8350,132,694300,166797,0,176200,44000,52701,193436,0,0,14653
第11屆臺北市議員,周威佑,2806600,1185000,0,10000,20000,221,847100,1376090,303900,203945,209625,48001,328420,485000,0,0
第11屆臺北市議員,周柏雅,6300088,777000,0,10000,38159,419,774415,3648814,256429,688720,535550,10690,405123,710000,0,0
第11屆臺北市議員,周永鴻,70000,90000,0,0,0,13,0,166000,0,0,0,0,0,0,0,0
第11屆臺北市議員,唐高炫風,19888,8000,0,0,1300,0,0,0,76800,0,0,0,0,0,0,0
第11屆臺北市議員,宋佳倫,317767,0,0,3000,55087,18,146550,21120,0,0,7843,11474,219946,0,0,0
第11屆臺北市議員,張宏林,164600,55000,0,0,16792,0,5000,186100,0,0,0,9683,10667,0,0,0
第11屆臺北市議員,張茂楠,5490800,1266000,10000,122000,25000,1076,1368100,3467184,870550,157798,1055547,171154,533314,210000,0,0
第11屆臺北市議員,徐佳青,3000383,563000,2100,150000,500,0,260946,1349882,0,340237,286402,126842,321999,50000,0,59682
第11屆臺北市議員,應曉薇,791300,890200,0,0,768,46,401000,820843,0,146915,0,142934,288235,0,0,42580
第11屆臺北市議員,戴錫欽,5677000,3550317,0,5000,0,304,1810419,4486620,466688,566926,304501,79434,157759,710000,0,219844
第11屆臺北市議員,朱政騏,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第11屆臺北市議員,李亦杜,1105188,25000,200000,0,10000,32,80000,1021695,176088,10150,135415,6000,37230,0,0,0
第11屆臺北市議員,李傅中武,650288,465000,0,2000,0,206,1045855,485531,0,119065,38606,60100,337178,200000,0,0
第11屆臺北市議員,李大華,2123400,553000,2000000,0,0,0,2575825,1395960,5300,224389,74429,178175,437342,0,0,0
第11屆臺北市議員,李建昌,6322200,651600,0,350000,232200,928,1767825,2575681,302500,590393,131200,149942,448535,75000,0,116612
第11屆臺北市議員,李彥秀,5812000,4733200,0,80000,0,826,2662940,2570105,831835,1858500,241817,100282,923030,2000000,0,4190
第11屆臺北市議員,李慶元,7717074,3952000,0,30000,8600,70,3800431,6348661,103966,279815,460728,162203,709251,286000,70000,33948
第11屆臺北市議員,李慶鋒,3788614,510000,0,58600,41220,281,652532,2285082,80518,349933,77637,6900,374042,50000,0,10600
第11屆臺北市議員,李振光,1431400,541405,1000000,0,0,115,734800,1149664,576004,140536,109249,53731,573122,0,0,0
第11屆臺北市議員,李文英,6506278,1309000,0,180000,25000,1596,1593141,3810886,819564,341000,645290,29335,869169,35000,0,34078
第11屆臺北市議員,李新,4221996,5590000,200000,130000,11100,0,1209210,4454762,1284025,256389,508672,373681,1404977,190020,520000,49200
第11屆臺北市議員,李盈萱,379550,0,0,0,5600,200017,37232,31773,0,113530,0,120,212463,0,0,0
第11屆臺北市議員,李芳儒,158200,320000,0,0,500,82,349000,210328,0,21994,0,59721,524881,0,0,0
第11屆臺北市議員,林世宗,581000,290000,0,0,0,47,465330,299154,40000,0,0,0,59560,0,0,7500
第11屆臺北市議員,林國成,7128800,2074600,500000,143000,149000,601,963650,6943035,611944,217332,664024,57696,615625,807600,5000,0
第11屆臺北市議員,林奕華,9710988,4882000,0,397000,82000,908,1343263,4820252,86972,675556,265381,43633,498872,120000,2000000,380
第11屆臺北市議員,林慶隆,4786266,1728000,0,214000,6400,195,820760,9436491,552070,0,278822,30957,251385,130000,0,0
第11屆臺北市議員,林晉章,9996500,7532000,200000,457600,38000,770,3499803,7598648,874193,1789148,446971,92666,1025972,2910000,20000,8800
第11屆臺北市議員,林照玉,148000,100000,0,10000,0,1,120000,93847,0,0,16950,11416,15815,0,0,0
第11屆臺北市議員,林瑞圖,9096900,5516000,0,124000,23600,921,2623050,5505883,104438,100000,932467,233105,756654,1443000,0,321639
第11屆臺北市議員,柯景昇,1334400,557000,0,30000,0,0,726466,1146846,0,340200,48409,83476,234573,202000,0,0
第11屆臺北市議員,梁文傑,2682000,2609000,0,0,20000,51,1812347,1995355,399160,426897,193974,6875,506083,0,0,0
第11屆臺北市議員,楊實秋,3970600,4550020,0,0,4000,811,1069941,1201937,57840,0,0,140009,213165,1120020,0,0
第11屆臺北市議員,楊萬金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第11屆臺北市議員,歐陽龍,9825300,2220000,0,0,0,2649,1374060,1283930,630542,94440,728510,5425,1367143,100000,0,52540
第11屆臺北市議員,江志銘,3868100,920000,0,20000,209370,95,2565445,1071112,0,18800,484189,261381,690045,10000,0,0
第11屆臺北市議員,汪志冰,5826540,2001600,0,65000,10000,10,1967604,3124740,195001,371429,390095,133164,566624,500000,0,765611
第11屆臺北市議員,洪健益,8354988,3348500,0,224000,246888,3070,2022193,4872754,17000,95000,311500,277612,1349290,140000,48500,545218
第11屆臺北市議員,洪士奇,4426100,2114687,800000,0,16000,654,2999595,4172029,433784,936090,368508,69198,259376,745000,0,0
第11屆臺北市議員,洪連佐,84100,0,0,28000,8000,0,0,0,0,0,0,0,200000,0,0,0
第11屆臺北市議員,游文玫,126000,235000,0,0,0,12,145000,176092,49600,0,0,0,1444,0,0,0
第11屆臺北市議員,潘懷宗,3525600,1570000,200000,140000,129000,418,1541600,2815923,56266,216000,198172,97318,488050,40000,30000,85810
第11屆臺北市議員,潘翰聲,527400,90000,0,0,4000,59,164700,244495,4950,119810,0,39438,80237,0,0,0
第11屆臺北市議員,王世堅,1990900,566000,9000,50000,0,0,1874560,340950,122333,425480,37320,0,513569,25000,0,0
第11屆臺北市議員,王孝維,4726650,507250,6000,115000,110000,141,497000,4122137,4590,0,87900,17673,874597,0,0,0
第11屆臺北市議員,王欣儀,912000,1184208,0,0,7999,139,678650,1216855,127700,237300,82807,105594,370480,200000,0,0
第11屆臺北市議員,王正德,6879400,3550000,0,235000,79100,366,1359000,9000733,8047,188500,94220,0,193860,820000,0,24139
第11屆臺北市議員,王浩,7123500,5839600,0,110000,0,5543,901800,668143,0,15000,185450,263065,877110,130000,150000,0
第11屆臺北市議員,王碧華,120000,200000,0,0,65200,38,120000,204898,0,130000,0,11062,286914,0,0,0
第11屆臺北市議員,王育誠,1607840,0,0,0,111,0,524000,0,200000,630000,108000,,149000,0,0,0
第11屆臺北市議員,王鴻薇,4436822,2045751,200000,20000,4770,535,390734,4976357,242131,191650,78320,66062,627837,210000,0,0
第11屆臺北市議員,祿子．高露,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第11屆臺北市議員,秦儷舫,4975300,1739800,200000,230000,1000,0,981400,4755326,22200,100000,0,16195,627497,560000,150000,108900
第11屆臺北市議員,秦慧珠,6192480,8456197,0,356000,35260,1442,1501138,4591086,363873,603998,609500,68712,644297,1210000,500000,46750
第11屆臺北市議員,童仲彥,960800,100000,0,0,4000,9,126840,701203,16305,0,115574,44608,60270,0,0,0
第11屆臺北市議員,簡余晏,8659028,577686,2400,100000,173716,1200,470185,1736489,105000,90000,197551,144894,532198,161000,0,1421026
第11屆臺北市議員,翁金飛,500,0,0,0,0,0,0,1103,0,0,0,0,0,0,0,0
第11屆臺北市議員,莊瑞雄,6417150,2790000,171000,150000,0,1758,965286,3086520,472330,522748,248298,115870,411478,20000,0,0
第11屆臺北市議員,萬美芳,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第11屆臺北市議員,葉林傳,1262000,1001000,0,0,4900,117,1752635,6091297,0,0,205380,0,218200,0,0,0
第11屆臺北市議員,藍世聰,2898000,700000,0,0,0,650,604350,3411962,425783,120675,87538,11255,147116,0,0,77260
第11屆臺北市議員,許家蓓,1128399,225000,0,0,31800,4,1208686,1079152,0,0,0,65096,139380,0,0,0
第11屆臺北市議員,許淑華,5738888,1010000,30000,250000,0,0,1506617,3902514,0,367830,377190,97997,532575,260000,0,0
第11屆臺北市議員,謝坤村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第11屆臺北市議員,賴素如,6898746,5430000,0,582000,121200,1230,4233193,3171409,63255,8719,935459,41011,974946,420000,20000,0
第11屆臺北市議員,趙世聰,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第11屆臺北市議員,郭昭巖,2347000,1986600,0,146000,207600,0,0,4427625,0,0,79976,101960,728957,0,0,0
第11屆臺北市議員,鍾君竺,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第11屆臺北市議員,鍾小平,2630000,4280000,0,0,3000,231,1615675,733925,0,140000,15000,71909,569990,0,0,0
第11屆臺北市議員,闕枚莎,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
第11屆臺北市議員,阮昭雄,1988560,1292000,0,20000,28000,41,1133900,1579307,480521,210000,260080,152343,312676,0,0,39230
第11屆臺北市議員,陳嘉銘,522000,215000,0,0,0,76,102800,304207,5800,0,12013,57245,309444,0,0,0
第11屆臺北市議員,陳孋輝,4945267,966000,0,128000,0,0,1954729,3215938,0,354770,4680,122581,571756,0,0,0
第11屆臺北市議員,陳建銘,7172100,4373000,100000,0,10000,612,3331620,4246947,353129,190896,1237153,157378,1046895,730000,0,838382
第11屆臺北市議員,陳彥伯,2868200,892000,0,0,22000,76,410000,2828330,210260,127851,0,71299,171552,32000,0,0
第11屆臺北市議員,陳德賢,77600,40000,0,0,5000,5,28450,49000,0,0,0,10003,71998,0,0,0
第11屆臺北市議員,陳政忠,5403000,1863000,0,0,5000,152,238333,4981141,36000,207075,441385,70023,564664,825000,0,64324
第11屆臺北市議員,陳正德,876000,429000,0,81500,3000,0,0,726493,575970,21047,112060,0,93640,0,0,5300
第11屆臺北市議員,陳永德,3487700,2312000,0,0,0,0,0,4524910,0,0,38910,95,85642,250000,0,9800
第11屆臺北市議員,陳淑華,427000,28000,0,0,39000,0,736732,1658880,81199,0,165694,0,205920,0,0,0
第11屆臺北市議員,陳玉梅,,0,人民團體捐贈收入,0,0,0,,,"支 租用競選辦事處支出",0,交通旅運支出,0,,"出 繳庫支出",0,0
第11屆臺北市議員,陳碧峰,5001200,3777000,0,30000,22990,69,2087050,4171342,0,352270,253150,329454,723567,942000,0,0
第11屆臺北市議員,陳義洲,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
第11屆臺北市議員,陳重文,273200,0,0,0,0,0,0,1329026,152200,0,0,0,0,0,0,0
第11屆臺北市議員,陳錦祥,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
第11屆臺北市議員,顏克莉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第11屆臺北市議員,顏聖冠,1011000,200000,0,0,60725,144,476945,1788416,33200,164794,125315,43499,135399,0,0,0
第11屆臺北市議員,高嘉瑜,1019017,753000,0,0,21900,135,207300,1468640,0,256500,0,9616,12443,0,0,0
第11屆臺北市議員,高李茂俊,16000,40000,500000,20000,48000,11,347000,143226,85000,90000,163587,1478,242908,0,0,0
第11屆臺北市議員,高正尚,2174600,373000,0,0,800,7,2117500,606620,69810,150000,77023,93905,450208,20000,0,9300
第11屆臺北市議員,高金建華,380000,0,0,0,0,0,0,0,0,480000,200000,50000,400000,0,0,0
第11屆臺北市議員,黃向羣,5062200,2306000,9400,100000,17000,1058,2721306,3770395,970812,55725,71610,80912,402621,184000,0,0
第11屆臺北市議員,黃平洋,1321500,225000,0,8800,50200,111,1536017,1072232,0,43176,0,107939,459342,0,0,71105
第11屆臺北市議員,黃幼中,200000,140000,0,0,0,16,54000,502026,182175,0,8968,5043,77064,0,0,0
第11屆臺北市議員,黃珊珊,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
第11屆臺北市議員,黃鶴敏,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第15屆基隆市議員,游振昌,443000,0,0,5000,8000,29,0,799036,0,244500,0,35761,334881,0,0,0
第16屆南投縣議員,劉一平,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第16屆南投縣議員,吳國昌,189000,276600,0,5000,2000,63,0,327059,0,1000,0,0,144841,0,0,0
第16屆南投縣議員,吳棋祥,40000,0,0,0,0,0,0,679902,252000,36683,162177,3765,998531,0,0,0
第16屆南投縣議員,周義雄,471200,30000,0,0,0,10,0,575168,54500,101245,59000,19995,302870,0,0,0
第16屆南投縣議員,宋懷琳,738000,163200,0,23200,0,18,0,283737,15200,59260,74320,52166,534748,0,0,0
第16屆南投縣議員,康誌合,272600,188000,0,0,0,0,0,1044402,78050,9000,0,46235,700093,0,0,0
第16屆南投縣議員,廖志城,470000,918000,0,0,0,0,0,1054565,0,0,142000,0,191435,0,0,0
第16屆南投縣議員,廖梓佑,667000,260000,0,20000,0,0,0,455160,0,0,109630,30630,355580,0,0,0
第16屆南投縣議員,張啟訓,60000,280000,0,0,0,0,0,102725,16000,45200,127539,9377,68806,0,0,0
第16屆南投縣議員,張國華,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第16屆南投縣議員,張文霙,0,50000,0,0,0,0,0,324312,15000,75000,92900,0,654645,0,0,0
第16屆南投縣議員,張永輝,0,0,0,0,0,0,0,449000,96400,11920,86000,0,145475,0,0,0
第16屆南投縣議員,張經魁,33000,0,0,0,0,4,0,581139,0,20383,39980,10075,64602,0,0,0
第16屆南投縣議員,彭成裕,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第16屆南投縣議員,李合元,732500,51600,0,0,0,29,0,257542,29233,9400,15000,16120,478218,0,0,0
第16屆南投縣議員,李增全,55600,6000,0,0,0,0,0,5800,0,0,0,10062,90490,0,0,0
第16屆南投縣議員,李添興,95000,50000,0,0,0,29,0,63400,0,0,0,28410,53120,0,0,0
第16屆南投縣議員,李鎗富,516000,0,0,0,0,0,0,388600,0,0,0,1120,210400,0,0,0
第16屆南投縣議員,李長駿,325700,0,0,0,0,12,0,399550,0,0,0,0,0,0,0,0
第16屆南投縣議員,林建營,120000,180000,0,0,0,1,0,136050,19100,1300,0,0,180740,0,0,0
第16屆南投縣議員,林憶如,24000,1001000,0,0,0,1,0,245971,6000,36000,396444,17532,327802,0,0,0
第16屆南投縣議員,林招伯,119600,0,0,0,8000,0,0,220000,0,0,0,0,0,0,0,0
